ship_name,class,uic,status,fleet,date_status_change,homeport,maintenance_category,berth,force,builder,award_date,commission_date,keel_date,inactivation_date,launch_date,decommission_date,age_since_launch,years_commission_decommission,delivery_date,in-service_date,age_since_delivery,out_of_service_date,stricken_date,overall_length,waterline_length,extreme_beam,waterline_beam,max_navigational_draft,draft_limit,light_displacement,full_displacement,dead_weight,hull material,num_propellers,num_waterjet,propulsion_type,officer_accom,enlisted_accom,custodian,planning_yard,nuclear_planning_yard,ship_program_mgr,comments,last_updated
AQUILA (PHM 4),PHM 1,20930,"Disposed of, by Navy Sale",,08/19/1996,,,,,BOEING CO/SEATTLE,10/20/1977,06/26/1982,07/10/1979,,09/16/1981,07/30/1993,14.9,11.0,01/26/1982,,14.6,,07/30/1993,133 ft,118 ft,29 ft,25 ft,7 ft,3 ft,176 tons,246 tons,70 tons,All aluminum hull.,,,Geared Turbine,5,19,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,03/15/1999
ARCADIA (AD 23),AD 23,04641,"Disposed of, by Navy Sale",,08/01/1974,,,,,,11/09/1944,09/13/1945,03/06/1944,,11/19/1944,,29.8,,09/21/1945,,28.9,,07/01/1973,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,05/01/2007
ARCHERFISH (SSN 678),SSN 637,20041,Disposed of by submarine recycling,,11/06/1998,,,,,General Dynamics Corp.,06/25/1968,12/17/1971,06/19/1969,,01/16/1971,03/31/1998,27.8,27.0,12/01/1971,,26.9,,03/31/1998,298 ft,,32 ft,,29 ft,,4206 tons,4505 tons,299 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),14,98,"PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)",,,,,11/16/1998
ARCTURUS (AF 52),AF 50,01591,Disposed of in support of Fleet training exercise,,07/24/1997,,,,,"Moore Dry Dock Co., Inc.",02/24/1941,11/18/1961,12/08/1941,,03/15/1942,03/16/1973,55.3,12.0,04/23/1943,,54.3,,12/09/1985,459 ft,435 ft,63 ft,63 ft,26 ft,26 ft,7838 tons,13860 tons,6022 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,18,46,US NAVY,,,,,07/03/2000
ARIES (PHM 5),PHM 1,20931,"Disposed of, by Navy Sale",,08/19/1996,,,,,BOEING CO/SEATTLE,10/20/1977,09/18/1982,01/07/1980,,11/05/1981,07/30/1993,14.8,11.0,05/10/1982,,14.3,,07/30/1993,133 ft,118 ft,29 ft,25 ft,7 ft,3 ft,176 tons,247 tons,71 tons,All aluminum hull.,,,Geared Turbine,5,19,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,03/15/1999
ARIKARA (ATF 98),ATF 96,07098,"Disposed of through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 519, Southern Region Amendment",,09/30/1992,,,,,CHARLESTON SB & DD CO,,01/05/1944,,,06/22/1943,,49.3,,,,,,06/25/1992,,,,,,,,,,,,,Diesel Electric,,,CHILE,,,,,07/02/2002
ARIZONA (BB 39),BB 38,,Dedicated as an Memorial,,05/30/1962,,,,,Naval Shipyard New York,06/24/1913,10/17/1916,03/16/1914,,06/19/1915,12/29/1941,46.9,25.0,10/17/1916,,45.6,,12/01/1942,608 ft,600 ft,106 ft,,33 ft,,32600 tons,37654 tons,5054 tons,"Steel hull, steel superstructure.",4,,Steam Turbines,93,1639,,,,,"ARIZONA  WAS BLOWN UP AND SANK BY DIRECT BOMB HITS FROM JAPANESE AIRCRAFT DURING THE ATTACK ON PEARL HARBOR NAVAL SHIPYARD, PEARL, HI ON 12/7/1941. SHE WAS PLACED "" IN ORDINARY"" (OUT OF COMMISSION, LAID UP) ON 12/29/1941 AND STRICKEN ON 12/1/1942.  ON 5/30/1962, THE NATIONAL PARKS SERVICE ACQUIRED CUSTODY OF THE SHIP FOR PUBLIC DISPLAYING, HOWEVER, THE US NAVY RETAINS TITLE.",08/30/2001
ARKANSAS (BB 33),BB 32,,Disposed of in support of Fleet training exercise,,07/25/1946,,,,,New York Shipbuilding Corp.,09/25/1909,09/17/1912,01/25/1910,,01/14/1911,07/29/1946,35.5,34.0,09/14/1912,,33.8,,08/15/1946,562 ft,554 ft,106 ft,,32 ft,,26100 tons,33600 tons,7500 tons,"Steel hull, steel superstructure.",4,,Steam Turbines,104,1756,US NAVY,,,,"EMPLOYED AS A TARGET SHIP IN THE ATOMIC BOMB TESTS AT BIKINI ATOLL IN 7/1946. SHE SUNK ON 7/25/1946 AS A RESULT OF THE TEST ""BAKER"" BLAST.",07/22/2002
ARKANSAS (CGN 41),CGN 38,20807,Disposed of by Recycling,,11/01/1999,,,,,Newport News Shipbuilding,01/31/1975,10/18/1980,01/17/1977,,10/21/1978,07/07/1998,21.1,18.0,09/29/1980,,19.2,,07/07/1998,586 ft,560 ft,63 ft,62 ft,32 ft,23 ft,10669 tons,11673 tons,1004 tons,"Steel hull, aluminum superstructure.",2,,Steam Turbine (Nuclear),35,428,"PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)",,,,,10/19/2001
ARKANSAS (SSN 800),SSN 774,,"Authorized, for US Navy construction",,04/28/2014,,,,,Newport News Shipbuilding,04/28/2014,,,,,,,,,,,,,,,,,,,,,,,,,Steam Turbine (Nuclear),,,,,,,,06/17/2016
ARLINGTON (AGMR 2),AGMR 2,03348,"Disposed of, by Navy Sale",,06/01/1976,,,,,,,,,,,,,,,,,,08/15/1975,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/28/2001
ARNEB (LKA 56),LKA 56,01256,"Disposed of, by Navy Sale",,03/01/1973,,,,,,,,,,,,,,,,,,08/13/1971,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
ARNOLD J ISBELL (DD 869),DD 710,52169,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,07/01/1978,,,,,,,,,,,,,,,,,,02/01/1974,,,,,,,,,,,,,,,,GREECE,,,,,02/16/2011
ARTHUR L BRISTOL (APD 97),APD 87,02981,Disposed of by Dismantling (Scrapping/Recycling),,08/04/1965,,,,,Naval Shipyard Charleston,01/25/1942,06/25/1945,12/01/1943,,02/19/1944,04/29/1946,21.5,1.0,07/02/1945,,20.1,,06/01/1964,306 ft,300 ft,37 ft,36 ft,13 ft,,,,,"Steel hull, steel superstructure.",2,,,,,,,,,,12/12/2017
ARTHUR W RADFORD (DD 968),DD 963,20588,Disposed of by Donation for use as Artificial Reefing,,04/07/2010,,,"NAVSEA Inactive Ships On-site Maintenance Office, Philadelphia, PA",,Ingalls Shipbuilding Corp.,01/15/1971,04/16/1977,01/24/1974,,03/01/1975,03/18/2003,35.1,26.0,04/04/1977,,33.0,,04/06/2004,563 ft,529 ft,55 ft,55 ft,32 ft,23 ft,6870 tons,9306 tons,2436 tons,"Steel hull, aluminum superstructure.",2,,Gas Turbines,31,324,"DELAWARE, USA",,,,,02/16/2011
ASHEBORO (PCE 882),PCE 842,06382,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,11/01/1974,,,,,,,,,,,,,,,,,,11/15/1974,,,,,,,,,,,,,,,,KOREA,,,,,08/29/2000
ASHEVILLE (PG 84),PG 84,12583,"Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.",,08/01/1977,,,,,,,,,,,,,,,,,,12/15/1976,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/28/2001
ASHTABULA (AO 51),AO 22,04951,Disposed of in support of Fleet training exercise,,10/15/2000,,,,,Bethlehem Steel Corp.,,,,,,,,,,,,,09/06/1991,553 ft,525 ft,75 ft,75 ft,32 ft,,7470 tons,25450 tons,17980 tons,"Steel hull, steel superstructure.",2,,Steam Turbine,19,284,US NAVY,,,,,08/16/2016
ASKARI (ARL 30),ARL 1,58131,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,02/01/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDONESIA,,,,,08/25/2000
ASPRO (SSN 648),SSN 637,05135,Disposed of by submarine recycling,,11/03/2000,,,,,Ingalls Shipbuilding Corp.,03/26/1963,02/20/1969,11/23/1964,,11/29/1967,03/31/1995,33.0,26.0,02/20/1969,,31.8,,03/31/1995,292 ft,,,,,,4015 tons,,,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),,,"PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)",,,,,08/30/2001
ASSERTIVE (AGOS 9),AGOS 1,21305,"Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.",,03/31/2004,,,,,"Tacoma Boatbuilding Co., Inc.",01/20/1982,,07/30/1985,,06/20/1986,,17.8,,09/09/1986,,17.5,,03/03/2004,224 ft,204 ft,43 ft,43 ft,15 ft,16 ft,1565 tons,2535 tons,970 tons,"Steel hull, steel superstructure.",2,,Diesel Electric,7,13,,,,,ASSERTIVE (AGOS-9) TRANSFERRED TO THE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION (NOAA) ON 31 MAR 04. TRANSFERRED TO SEATTLE MARITIME ACADEMY ON 17 DEC 08.,04/01/2009
ASSURANCE (AG 521),AG 520,08162,"Disposed of, by Navy Sale",,07/01/1978,,,,,,,,,,,,,,,,,,09/30/1977,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,08/16/2016
ASSURANCE (AGOS 5),AGOS 1,42486,"Disposed of  through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment",,09/30/1999,,,,,"Tacoma Boatbuilding Co., Inc.",02/13/1981,,04/16/1984,,01/12/1985,,14.7,,05/01/1985,,14.3,,01/06/1995,224 ft,204 ft,43 ft,43 ft,15 ft,16 ft,1565 tons,2535 tons,970 tons,"Steel hull, steel superstructure.",2,,Diesel Electric,7,13,PORTUGAL,,,,,11/12/1999
ASTERION (AF 63),AF 63,02403,Disposed of by MARAD sale,,08/31/1973,,,,,,,,,,,,,,,,,,06/15/1973,,,,,,,,,,,,,,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,01/02/2002
ATAKAPA (ATF 149),ATF 148,07149,Disposed of in support of Fleet training exercise,,08/25/2000,,,,,CHARLESTON SB & DD CO,10/13/1943,12/08/1944,02/17/1944,,07/11/1944,,56.1,,12/08/1944,,55.7,,02/21/1992,205 ft,195 ft,39 ft,39 ft,17 ft,16 ft,1240 tons,1640 tons,400 tons,"Steel hull, steel superstructure.",1,,Diesel Electric,6,71,US NAVY,,,,,09/29/2015
ATHERTON (FF 169),FF 99,02869,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,09/01/1976,,,,,,,,,,,,,,,,,,06/15/1975,,,,,,,,,,,,,,,,PHILIPPINES,,,,,12/28/2001
ATLANTA (SSN 712),SSN 688,20888,"Stricken, Final Disposition Pending",,12/16/1999,,,Puget Sound Naval Shipyard & Intermediate Maintenance Facility (PSNS & IMF) PIER 7,,Newport News Shipbuilding,08/01/1975,03/06/1982,08/17/1978,,08/16/1980,12/16/1999,38.1,17.0,02/26/1982,,36.6,,12/16/1999,362 ft,,33 ft,,32 ft,,5732 tons,6160 tons,428 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),12,98,"PUGET SOUND NAVAL SHIPYARD AND INTERMEDIATE MAINTENANCE FACILITY, WA (PSNS & IMF)",,,,,12/12/2017
ATLANTIS (AGOR 25),AGOR 23,22267,Leased,,02/25/1997,,,,,Halter Marine Inc.,02/15/1994,,08/16/1994,,02/01/1996,,22.6,,02/25/1997,,21.6,,,274 ft,243 ft,53 ft,53 ft,19 ft,19 ft,2155 tons,3200 tons,1045 tons,"Steel hull, steel superstructure.",2,,Twin Diesel Electric Azimuthing Stern Thrusters,,,WOODS HOLE OCEANOGRAPHIC INSTITUTION,,,,,12/12/2017
ATLAS (ARL 7),ARL 1,50231,"Disposed of, by Navy Sale",,09/01/1973,,,,,,,,,,,,,,,,,,06/01/1972,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
ATULE (SS 403),SS 403,05503,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,07/01/1974,,,,,,,,,,,,,,,,,,08/15/1973,,,,,,,,,,,,,,,,PERU,,,,,12/31/2001
AUBREY FITCH (FFG 34),FFG 7,21059,Disposed of by Dismantling (Scrapping/Recycling),,05/19/2005,,,,,Bath Iron Works Corp.,01/23/1978,10/09/1982,04/10/1981,,10/17/1981,12/12/1997,23.6,15.0,10/01/1982,,22.6,,05/03/1999,445 ft,408 ft,47 ft,47 ft,25 ft,16 ft,3109 tons,3993 tons,884 tons,"Steel hull, aluminum superstructure.",1,,Gas Turbines,17,198,,,,,,12/12/2017
AUCILLA (AO 56),AO 22,04956,Disposed of by Navy title transfer to the Maritime Administration,,07/03/1992,,,,,Bethlehem Steel Corp.,,12/22/1943,,,11/20/1943,,48.7,,,,,,12/01/1976,,,,,,,,,,,,,Steam Turbine,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,08/16/2016
AUDACIOUS (AGOS 11),AGOS 1,21471,"Disposed of  through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment",,12/09/1996,,,,,"Tacoma Boatbuilding Co., Inc.",09/30/1987,,02/29/1988,,01/28/1989,,7.9,,06/12/1989,,7.5,,02/06/1997,224 ft,,,,,,1565 tons,2535 tons,970 tons,"Steel hull, steel superstructure.",2,,Diesel Electric,,,PORTUGAL,,,,,07/19/2000
AUGUSTA (SSN 710),SSN 688,20886,"Stricken, Final Disposition Pending",,02/11/2009,,Z,Puget Sound Naval Shipyard & Intermediate Maintenance Facility (PSNS & IMF) MOORING ALPHA,,General Dynamics Corp.,10/31/1973,01/19/1985,04/01/1982,04/15/2008,01/21/1984,02/11/2009,34.7,24.0,12/05/1984,,33.8,,02/11/2009,362 ft,,33 ft,,32 ft,,5786 tons,6164 tons,378 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),12,98,"PUGET SOUND NAVAL SHIPYARD AND INTERMEDIATE MAINTENANCE FACILITY, WA (PSNS & IMF)",,,,"USS AUGUSTA, SSN 710 CONDUCTED AN INACTIVATION CEREMONY AT THE NAVAL SUBMARINE BASE NEW LONDON'S SHEPHERD OF THE SEA CHAPEL 07 FEB 08.",12/12/2017
AULICK (DD 569),DD 448,04569,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,04/01/1977,,,,,,,,,,,,,,,,,,09/01/1975,,,,,,,,,,,,,,,,GREECE,,,,,12/17/2001
AULT (DD 698),DD 692,04298,"Disposed of, by Navy Sale",,06/01/1974,,,,,,,,,,,,,,,,,,07/16/1973,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/31/2001
AUSTIN (LPD 4),LPD 4,07175,Disposed of by Dismantling (Scrapping/Recycling),,09/10/2010,,,,,Naval Shipyard New York,09/21/1961,02/06/1965,02/04/1963,,06/27/1964,09/27/2006,46.3,41.0,02/05/1965,,45.6,,09/27/2006,569 ft,548 ft,105 ft,84 ft,22 ft,23 ft,9201 tons,16914 tons,7713 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,29,459,,,,,"LPD 15 USS PONCE RECLASSIFIED AS AFSB(I) 15 USS PONCE, EFFECTIVE MARCH 31, 2012.",12/12/2017
AVENGER (MCM 1),MCM 1,21314,Disposed of by Dismantling (Scrapping/Recycling),,05/13/2015,,,,,Peterson Builders Inc.,06/29/1982,09/12/1987,06/03/1983,,06/15/1985,09/30/2014,29.9,27.0,08/28/1987,,27.8,,09/30/2014,224 ft,217 ft,39 ft,44 ft,15 ft,12 ft,1253 tons,1367 tons,114 tons,"Wood hull, (except engines and equipment).",2,,Diesel Engines,8,76,,,,,VESSEL DEMILITERIZED AND DISMANTLED BY WHILLOCK CONTRACTING INC.,12/12/2017
AVENTINUS (ARVE 3),ARVE 3,58092,"Disposed of by abandoning, burning, scuttling, or sinking",,04/01/1980,,,,,,,,,,,,,,,,,,06/25/1992,,,,,,,,,,,,,,,,CHILE,,,,,07/02/2002
AYLWIN (FF 1081),FF 1052,20052,"Disposed of  through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment",,04/29/1998,,,,,Avondale Industries,08/25/1966,09/18/1971,11/13/1969,,08/29/1970,05/15/1992,27.7,21.0,03/03/1971,,27.1,,01/11/1995,438 ft,415 ft,47 ft,47 ft,25 ft,17 ft,3214 tons,4194 tons,980 tons,"Steel hull, aluminum superstructure.",1,,Steam Turbines,22,288,TAIWAN,,,,,01/23/2006
BADGER (FF 1071),FF 1052,54066,Disposed of in support of Fleet training exercise,,07/22/1998,,,,,"Todd Shipyards Corp., Los Angeles Div.",07/22/1964,12/01/1970,02/17/1968,,12/07/1968,12/20/1991,29.6,21.0,11/20/1970,,27.7,,01/11/1995,438 ft,415 ft,47 ft,47 ft,25 ft,17 ft,3249 tons,4245 tons,996 tons,"Steel hull, aluminum superstructure.",1,,Steam Turbines,23,265,US NAVY,,,,,06/29/2000
BAGLEY (FF 1069),FF 1052,54064,Disposed of by Recycling,,09/19/2000,,,,,Lockheed Shipbuilding & Construction Co.,07/22/1964,05/06/1972,09/22/1970,,04/24/1971,09/26/1991,29.4,19.0,04/28/1972,,28.4,,01/11/1995,437 ft,415 ft,47 ft,47 ft,25 ft,17 ft,3209 tons,4190 tons,981 tons,"Steel hull, aluminum superstructure.",1,,Steam Turbines,22,255,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,09/26/2000
BAINBRIDGE (CGN 25),CGN 25,52700,Disposed of by Recycling,,11/01/1999,,,,,"Bethlehem Steel Co., Shipbuilding Div.",09/01/1958,10/06/1962,05/15/1959,,04/15/1961,09/13/1996,38.6,34.0,09/28/1962,,37.2,,09/13/1996,565 ft,550 ft,58 ft,57 ft,29 ft,21 ft,8436 tons,9265 tons,829 tons,"Steel hull, aluminum superstructure.",2,,Steam Turbine (Nuclear),43,513,"PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)",,,,,10/19/2001
BALDUCK (LPR 132),LPR 101,53716,"Disposed of, by Navy Sale",,12/01/1976,,,,,Defoe Shipbuilding Co.,10/09/1942,05/07/1945,06/17/1944,,10/27/1944,,32.2,,05/07/1945,,31.6,,07/15/1975,306 ft,300 ft,37 ft,36 ft,14 ft,,,,,"Steel hull, steel superstructure.",2,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,02/15/2002
BALTIMORE (SSN 704),SSN 688,20831,"Stricken, Final Disposition Pending",,07/10/1998,,,Puget Sound Naval Shipyard & Intermediate Maintenance Facility (PSNS & IMF) DD-3,,General Dynamics Corp.,10/31/1973,07/24/1982,05/21/1979,,12/13/1980,07/10/1998,37.8,16.0,07/19/1982,,36.2,,07/10/1998,362 ft,,33 ft,,32 ft,,5714 tons,6087 tons,373 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),12,98,"PUGET SOUND NAVAL SHIPYARD AND INTERMEDIATE MAINTENANCE FACILITY, WA (PSNS & IMF)",,,,,12/12/2017
BANCROFT (DD 598),DD 421,04598,"Disposed of, by Navy Sale",,03/01/1973,,,,,,,,,,,,,,,,,,06/01/1971,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
BANG (SS 385),SS 385,05485,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,11/01/1974,,,,,,,,,,,,,,,,,,11/01/1974,,,,,,,,,,,,,,,,SPAIN,,,,,12/17/2001
BANNOCK (ATF 81),ATF 81,07081,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,05/01/1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITALY,,,,,08/25/2000
BARB (SS 220),SS 220,05220,"Disposed of, by Navy Sale",,04/01/1975,,,,,,,,,,,,,,,,,,10/15/1972,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
BARB (SSN 596),SSN 594,05059,Disposed of by submarine recycling,,03/14/1996,,,,,,,08/24/1963,,,,12/20/1989,,26.0,02/12/1962,,34.1,,12/20/1989,,,,,,,,,,,,,Steam Turbines (Nuclear),,,"PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)",,,,,01/27/2016
BARBEL (SS 580),SS 580,05603,Disposed of in support of Fleet training exercise,,01/30/2001,,,,,Naval Shipyard Portsmouth,08/24/1955,01/17/1959,05/18/1956,,07/19/1958,12/04/1989,42.5,30.0,06/04/1959,,41.6,,01/17/1990,219 ft,219 ft,29 ft,,28 ft,,1744 tons,2146 tons,402 tons,"Steel hull, steel superstructure.",1,,Diesel Electric,10,69,US NAVY,,,,,09/29/2015
BARBER (LPR 57),LPR 0,02861,"Stricken, to be disposed of by Navy sale",,05/12/1968,,X,,,Naval Shipyard Norfolk,01/10/1942,10/10/1943,04/27/1943,,05/20/1943,05/22/1946,75.3,3.0,10/25/1943,,74.9,,11/27/1968,306 ft,300 ft,37 ft,36 ft,14 ft,,,,,"Steel hull, steel superstructure.",2,,,,,MEXICO,,,,,09/29/2015
BARBEY (FF 1088),FF 1052,20066,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,09/29/1999,,,,,Avondale Industries,08/25/1966,11/11/1972,02/05/1971,,12/04/1971,03/20/1992,27.8,20.0,10/15/1972,,26.9,,01/11/1995,438 ft,415 ft,47 ft,47 ft,26 ft,17 ft,3214 tons,4195 tons,981 tons,"Steel hull, aluminum superstructure.",1,,Steam Turbines,22,261,TAIWAN,,,,,01/23/2006
BARBOUR COUNTY (LST 1195),LST 1179,20221,Disposed of in support of Fleet training exercise,,04/06/2004,,,,,National Steel & Shipbuilding Corp.,07/15/1966,02/12/1972,08/15/1970,,05/15/1971,03/30/1992,32.9,20.0,02/01/1972,,32.2,,07/13/2001,523 ft,500 ft,70 ft,70 ft,18 ft,19 ft,4982 tons,8585 tons,3603 tons,"Steel hull, aluminum superstructure.",2,,Diesel Engines,32,576,US NAVY,,,,,04/13/2004
BARNEY (DDG 6),DDG 2,04672,Disposed of by Dismantling (Scrapping/Recycling),,02/22/2006,,,,,New York Shipbuilding Corp.,03/28/1957,08/11/1962,08/10/1959,,12/10/1960,12/17/1990,45.2,28.0,07/31/1962,,43.6,,11/20/1992,,,,,,,,,,,,,Steam Turbines,,,,,,,,12/12/2017
BARNSTABLE COUNTY (LST 1197),LST 1179,20223,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,04/27/2000,,,,,National Steel & Shipbuilding Corp.,07/15/1966,05/27/1972,12/19/1970,,10/02/1971,06/29/1994,28.5,22.0,05/01/1972,,27.9,,07/23/2002,523 ft,500 ft,70 ft,70 ft,18 ft,19 ft,4945 tons,8553 tons,3608 tons,"Steel hull, aluminum superstructure.",2,,Diesel Engines,14,210,SPAIN,,,,,08/26/2002
BARR (APD 39),APD 37,53576,"Stricken, to be disposed of in support of Fleet training exercise",,03/23/1963,,,,,"BETHLEHEM STEEL CORP., HINGHAM SHIPYARD",08/07/1942,02/15/1944,11/05/1943,,12/28/1943,07/12/1946,74.8,2.0,02/15/1944,,74.6,,06/01/1960,306 ft,,37 ft,,14 ft,,,,,"Steel hull, steel superstructure.",2,,,,,,,,,,08/11/2010
BARRETT (AP 196),AP 196,08296,Disposed of by Navy title transfer to the Maritime Administration,,04/01/1974,,,,,New York Shipbuilding Corp.,08/18/1948,,06/01/1949,,06/27/1950,,23.8,,05/21/1952,,21.9,,07/01/1973,534 ft,503 ft,73 ft,73 ft,27 ft,,6720 tons,17600 tons,10880 tons,"Steel hull, steel superstructure.",1,,Turbine Reduction Gears,410,1750,,,,,"CONTRACT WAS AWARDED JUN 07 TO BAY BRIDGE ENT, CHESAPEAKE, VA TO DISPOSE OF BARRET BY RECYCLING.",07/20/2007
BARRY (APD 29),DD 186,,"Disposed of, destroyed by enemy action with the Japanese in World War II",,05/26/1945,,,,,New York Shipbuilding Corp.,12/29/1917,12/28/1920,07/26/1919,,10/28/1920,06/21/1945,24.6,25.0,12/28/1920,,24.4,,,314 ft,,32 ft,,10 ft,,,,,"Steel hull, steel superstructure.",2,,,,,,,,,,03/20/2007
BARRY (DD 933),DD 931,52193,"Stricken, Final Disposition Pending",,10/17/2015,,X,"NAVSEA Inactive Ships On-site Maintenance Office, Philadelphia, PA",,Bath Iron Works Corp.,12/15/1952,07/09/1956,03/15/1954,,10/01/1955,11/05/1982,62.9,26.0,08/31/1956,,62.1,,01/31/1983,418 ft,407 ft,45 ft,44 ft,20 ft,15 ft,2800 tons,3960 tons,1160 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,22,315,"NAVSEA INACTIVE SHIPS ON-SITE MAINTENANCE OFFICE, PHILADELPHIA, PA",,,,,12/12/2017
BARTLETT (AGOR 13),AGOR 3,05842,"Disposed of  through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment",,07/26/1993,,,,,NORTHWEST MARINE IRON WKS,07/12/1965,,11/18/1965,,05/24/1966,,27.2,,03/31/1969,,24.3,,08/30/1993,,,,,,,,,,,,,Diesel Electric,,,MOROCCO,,,,,02/18/1999
BASILONE (DD 824),DD 710,52124,Disposed of in support of Fleet training exercise,,04/01/1982,,,,,Consolidated Steel Corp. of Texas,,07/26/1949,07/07/1945,,12/21/1945,,36.3,,07/26/1949,,32.8,,11/01/1977,,,,,,,,,,"Steel hull, steel superstructure.",,,,,,US NAVY,,,,,06/11/2002
BASSETT (APD 73),APD 37,53672,Disposed of via the Security Assistance Program (SAP) to a foreign government,,09/06/1968,,,,,Consolidated Steel Corp. of Texas,06/13/1944,02/23/1945,11/28/1943,,01/15/1944,11/26/1957,24.7,12.0,02/23/1945,,23.6,,05/01/1967,306 ft,300 ft,37 ft,36 ft,13 ft,,,,,"Steel hull, steel superstructure.",2,,,,,,,,,,06/09/2016
BATAAN (AVT 4),AVT 1,03599,"Disposed of, by Navy Sale",,06/19/1961,,,,,New York Shipbuilding Corp.,12/16/1940,11/17/1943,08/31/1942,,08/01/1943,04/09/1954,17.8,11.0,11/17/1943,,17.6,,09/01/1959,623 ft,600 ft,109 ft,71 ft,26 ft,,11120 tons,16260 tons,5140 tons,"Steel hull, steel superstructure.",4,,Steam Turbines,156,1372,,,,,,06/09/2016
BATES (APD 47),APD 37,,"Disposed of, destroyed by enemy action with the Japanese in World War II",,05/25/1945,,,,,"BETHLEHEM STEEL CORP., HINGHAM SHIPYARD",02/10/1942,09/12/1943,03/29/1943,,06/06/1943,,1.9,,09/12/1943,,1.7,,,306 ft,,37 ft,,14 ft,,,,,"Steel hull, steel superstructure.",2,,,,,,,,,,03/20/2007
