ship_name,class,uic,status,fleet,date_status_change,homeport,maintenance_category,berth,force,builder,award_date,commission_date,keel_date,inactivation_date,launch_date,decommission_date,age_since_launch,years_commission_decommission,delivery_date,in-service_date,age_since_delivery,out_of_service_date,stricken_date,overall_length,waterline_length,extreme_beam,waterline_beam,max_navigational_draft,draft_limit,light_displacement,full_displacement,dead_weight,hull material,num_propellers,num_waterjet,propulsion_type,officer_accom,enlisted_accom,custodian,planning_yard,nuclear_planning_yard,ship_program_mgr,comments,last_updated
AMESBURY (APD 46),APD 37,02766,Disposed of by Dismantling (Scrapping/Recycling),,10/24/1962,,,,,"BETHLEHEM STEEL CORP., HINGHAM SHIPYARD",02/10/1943,08/31/1943,03/08/1943,,06/05/1943,07/03/1946,19.3,3.0,08/31/1944,,18.2,,06/01/1960,306 ft,300 ft,37 ft,36 ft,9 ft,,,,,"Steel hull, steel superstructure.",2,,,,,,,,,,12/12/2017
AMICK (FF 168),FF 99,02868,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,09/01/1976,,,,,,,,,,,,,,,,,,06/15/1975,,,,,,,,,,,,,,,,PHILIPPINES,,,,,12/28/2001
AMPERE (ADG 11),ADG 8,07859,"Stricken, to be disposed of by Navy sale",,08/01/1961,,,,,Willamette Iron & Steel Corp.,08/12/1943,,11/24/1943,,08/12/1944,,74.1,,08/15/1945,,73.1,,07/01/1961,185 ft,180 ft,34 ft,33 ft,10 ft,,700 tons,950 tons,250 tons,"Steel hull, steel superstructure.",2,,Diesel,9,56,,,,,,09/29/2015
AMPHION (AR 13),AR 13,08813,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,03/01/1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRAN,,,,,02/01/1999
ANCHORAGE (LSD 36),LSD 36,07203,"Disposed of by abandoning, burning, scuttling, or sinking",,07/18/2010,,,"NAVSEA Inactive Ships On-site Maintenance Office, Pearl Harbor, HI",,Ingalls Shipbuilding Corp.,06/29/1965,03/15/1969,03/13/1967,,05/05/1968,10/01/2003,42.2,34.0,02/20/1969,,41.4,,03/08/2004,553 ft,540 ft,84 ft,84 ft,19 ft,20 ft,8325 tons,14095 tons,5770 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,53,771,,,,,,10/15/2010
ANDREW J HIGGINS (AO 190),AO 187,21469,Disposed of through Inter or Intra Agency Transfer,,05/19/2009,,,,,Avondale Industries,11/22/1983,,11/21/1985,05/06/1996,01/17/1987,,22.3,,10/22/1987,,21.6,,01/06/2009,677 ft,650 ft,97 ft,97 ft,35 ft,35 ft,9500 tons,40700 tons,31200 tons,"Steel hull, steel superstructure.",2,,Diesel Engines,,,CHILE,,,,"ANDREW J. HIGGINS (AO 190) was re-commissioned Feb. 10, 2010 in Mobile, Ala., as the Chilean supply ship ALMIRANTE MONTT (AO 52).",12/12/2017
ANDREW JACKSON (SSBN 619),SSBN 616,05061,Disposed of by submarine recycling,,08/30/1999,,,,,Naval Shipyard Mare Island,07/23/1960,07/03/1963,04/26/1961,,09/15/1962,08/31/1989,36.9,26.0,07/03/1963,,36.1,,08/31/1989,,,,,,,,,,,,,Steam Turbine (Nuclear),,,"PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)",,,,,09/14/1999
ANNAPOLIS (AGMR 1),AGMR 1,07334,"Disposed of, by Navy Sale",,11/01/1979,,,,,,,,,,,,,,,,,,10/15/1976,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/28/2001
ANTARES (AKR 294),AKR 287,21593,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,10/01/2008,,,,Strategic Sealift Force,A. G. Wesser,08/01/1969,,,,05/01/1972,,46.3,,09/01/1972,,46.0,,,947 ft,893 ft,106 ft,106 ft,37 ft,32 ft,29692 tons,61987 tons,32295 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,ON 01 OCT 2007 CUSTODY WAS TRANSFERRED TO MARAD. FULL TITLE WAS TRANSFERRED 01 OCT 2008 AND SHIP LOST THEIR USNS DESIGNATION.,11/03/2011
ANTELOPE (PG 86),PG 84,12585,"Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.",,12/01/1977,,,,,,,11/04/1967,,,06/18/1966,,11.5,,,,,,10/01/1977,,,,,,,,,,,2,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/10/2001
ANTHONY (DD 515),DD 448,04515,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,06/01/1972,,,,,,,,,,,,,,,,,,04/15/1972,,,,,,,,,,,,,,,,GERMANY,,,,,01/02/2002
ANTIETAM (CVS 36),CVS 13,03336,"Disposed of, by Navy Sale",,12/01/1973,,,,,,,,,,,,,,,,,,05/01/1973,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
ANTRIM (FFG 20),FFG 7,20973,"Disposed of  through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment",,08/27/1997,,,,,"Todd Shipyards Corp., Seattle Div",02/28/1977,09/26/1981,06/21/1978,,03/27/1979,05/08/1996,18.4,15.0,08/20/1981,,16.0,,09/04/1997,445 ft,408 ft,47 ft,47 ft,25 ft,16 ft,3031 tons,3911 tons,880 tons,"Steel hull, aluminum superstructure.",1,,Gas Turbines,17,198,TURKEY,,,,,01/07/1999
APACHE (ATF 67),ATF 67,07067,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,06/01/1974,,,,,,,,,,,,,,,,,,03/30/1974,,,,,,,,,,,,,,,,TAIWAN,,,,,12/17/2001
APOLLO (AS 25),AS 23,04635,Disposed of by Navy title transfer to the Maritime Administration,,07/01/1963,,,,,Ingalls Shipbuilding Corp.,04/23/1942,12/31/1943,06/24/1943,,11/06/1943,02/12/1947,19.7,4.0,12/31/1943,,19.6,,07/01/1963,492 ft,465 ft,70 ft,70 ft,27 ft,,7730 tons,13520 tons,5790 tons,"Steel hull, steel superstructure.",1,,Steam Turbine,92,1486,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,03/17/2000
